Zone,Area,SubArea,Pole,PoleType,Pole Status,Meter Type,Latitude,Longitude,RFID,RFID Match,Terminal,Location,Set F/W Version,Reported F/W Version,Set IO F/W Version,Reported IO F/W Version,Config ID,Config. Name,Collection Route,Collection Sub Route,Original Meter  Install Date,Terminal Install Date,Street Side,Street Direction,Street Address,Dome Colour,Block Number,Enforcement Route,Maintenance Route,Carrier,Warranty Expiry
Adeline,ADELINE,2800 ADELINE ST,ADL2839,Single Space,Active,MK5,37.856949000,-122.268027000,E00700001AF290D4,Yes,0440137,Assigned to pole,52.79.8,52.79.8,,,47975,GB M5 Adl/Shatt Berk Bowl Comm Zone / 20 min 2 Hr -> 4 Hr / COVID-19 $1.00/hr,,,08/29/2012,07/22/2021,,,2800 ADELINE ST,,,,,Verizon4G,06/18/2020
Adeline,ADELINE,2800 ADELINE ST,ADL2841,Single Space,Active,MK5,37.856918000,-122.268043000,E00700001AF290D3,Yes,0371101,Assigned to pole,52.79.8,52.79.8,,,47975,GB M5 Adl/Shatt Berk Bowl Comm Zone / 20 min 2 Hr -> 4 Hr / COVID-19 $1.00/hr,,,08/29/2012,07/22/2021,,,2800 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2902,Single Space,Active,MK5,37.856144000,-122.268899000,E00700001B3A56AA,Yes,0353914,Assigned to pole,52.79.8,52.80.0,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,04/06/2023,,,2900 ADELINE ST,,,,,ATT4G,07/24/2022
Adeline,ADELINE,2900 ADELINE ST,ADL2906,Single Space,Active,MK5,37.856238000,-122.268939000,E00700001AF290C6,Yes,0342146,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,03/27/2024,,,2900 ADELINE ST,,,,,Verizon4G,01/05/2022
Adeline,ADELINE,2900 ADELINE ST,ADL2908,Single Space,Active,MK5,37.855965000,-122.268961000,E00700001AF290C5,Yes,0276200,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,09/19/2023,,,2900 ADELINE ST,,,,,Verizon4G,07/20/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2917,Single Space,Active,MK5,37.855990000,-122.268387000,E00700001AF290C8,Yes,0330160,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/22/2021,,,2900 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2919,Single Space,Active,MK5,37.855940000,-122.268415000,E00700001AF290C9,Yes,0337484,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/22/2021,,,2900 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2923,Single Space,Active,MK5,37.855813000,-122.268446000,E00700001AF290C7,Yes,0356313,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/22/2021,,,2900 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2930,Single Space,Active,MK5,37.855283000,-122.269191000,E00700001AF290CB,Yes,0370503,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,03/25/2024,,,2900 ADELINE ST,,,,,Verizon4G,05/12/2022
Adeline,ADELINE,2900 ADELINE ST,ADL2938,Single Space,Active,MK5,37.855199000,-122.269222000,E00700001AF290CE,Yes,0242781,Assigned to pole,52.79.5,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,02/02/2024,,,2900 ADELINE ST,,,,,Verizon4G,06/17/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2940,Single Space,Active,MK5,37.855173000,-122.269240000,E00700001AF290E8,Yes,0358770,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/03/2023,,,2900 ADELINE ST,,,,,Verizon4G,06/02/2022
Adeline,ADELINE,2900 ADELINE ST,ADL2942,Single Space,Active,MK5,37.855141000,-122.269260000,E00700001AF29094,Yes,0338828,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/06/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2944,Single Space,Active,MK5,37.855107000,-122.269279000,E00700001AF290DA,Yes,0385107,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/03/2021,,,2900 ADELINE ST,,,,,Verizon4G,07/20/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2946,Single Space,Active,MK5,37.855080000,-122.269286000,E00700001AF290DB,Yes,0385920,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,03/16/2021,,,2900 ADELINE ST,,,,,Verizon4G,09/20/2018
Adeline,ADELINE,2900 ADELINE ST,ADL2948,Single Space,Active,MK5,37.855051000,-122.269298000,E00700001AF290F5,Yes,0499489,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,10/04/2023,,,2900 ADELINE ST,,,,,Verizon4G,06/02/2022
Adeline,ADELINE,2900 ADELINE ST,ADL2950,Single Space,Active,MK5,37.855015000,-122.269313000,E00700001AF290F4,Yes,0356497,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/06/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2952,Single Space,Active,MK5,37.854985000,-122.269316000,E00700001AF290F2,Yes,0342670,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/06/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2954,Single Space,Active,MK5,37.854957000,-122.269324000,E00700001AF290F3,Yes,0344065,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/07/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2956,Single Space,Active,MK5,37.854926000,-122.269331000,E00700001AF290EC,Yes,0385948,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/07/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2958,Single Space,Active,MK5,37.854902000,-122.269342000,E00700001AF290A2,Yes,0342675,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/07/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2960,Single Space,Active,MK5,37.854879000,-122.269345000,E00700001AF290DE,Yes,0386005,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/07/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2962,Single Space,Active,MK5,37.854854000,-122.269360000,E00700001AF290DC,Yes,0358622,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/07/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,2900 ADELINE ST,ADL2964,Single Space,Active,MK5,37.854825000,-122.269380000,E00700001AF290E1,Yes,0385938,Assigned to pole,52.79.8,52.79.8,,,54764,M5 GB Adeline/Shattuck / 2Hr / COVID-19 / $1.00/HR,,,08/29/2012,05/07/2021,,,2900 ADELINE ST,,,,,Verizon4G,08/01/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3019,Single Space,Active,MK5,37.854576000,-122.268939000,E00700001AF290DF,Yes,0383919,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/22/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
Adeline,ADELINE,3000 ADELINE ST,ADL3021,Single Space,Active,MK5,37.854531000,-122.268952000,E00700001AF290E4,Yes,0353450,Assigned to pole,52.79.8,52.79.8,,,50870,M5 GB Adeline/Shattuck / 4 Hr / COVID-19 / $1.00/hr,,,08/29/2012,07/22/2021,,,3000 ADELINE ST,,,,,Verizon4G,09/21/2021
